feedback_id,customer_id,feedback_type,category,channel,subject,description,submitted_date,resolution_status,resolution_date,assigned_to,priority,satisfaction_score,response_time_hours,created_at
PMLA-FB000060-SYN,PMLA-C001341-SYN,COMPLAINT,LOAN_SERVICE,BRANCH,RE: Complaint - Case #95020,Synthetic feedback description for testing. Type: COMPLAINT. Category: FRAUD.,2023-03-20,RESOLVED,2023-04-10,Agent_364,MEDIUM,5,48,2026-01-10 21:04:43
PMLA-FB000061-SYN,PMLA-C000331-SYN,COMPLAINT,ACCOUNT_SERVICE,EMAIL,RE: Complaint - Case #70538,Synthetic feedback description for testing. Type: COMPLAINT. Category: CARD_SERVICE.,2024-11-13,RESOLVED,2024-11-17,Agent_333,MEDIUM,5,25,2026-01-10 21:04:43
PMLA-FB000062-SYN,PMLA-C000039-SYN,SUGGESTION,ONLINE_BANKING,CHAT,RE: Suggestion - Case #16206,Synthetic feedback description for testing. Type: SUGGESTION. Category: FRAUD.,2024-11-17,RESOLVED,2024-11-25,Agent_265,HIGH,1,60,2026-01-10 21:04:43
PMLA-FB000063-SYN,PMLA-C000902-SYN,SUGGESTION,OTHER,CHAT,RE: Suggestion - Case #24362,Synthetic feedback description for testing. Type: SUGGESTION. Category: CARD_SERVICE.,2023-12-22,ESCALATED,,Agent_194,MEDIUM,,48,2026-01-10 21:04:43
PMLA-FB000064-SYN,PMLA-C000288-SYN,INQUIRY,BRANCH_SERVICE,BRANCH,RE: Inquiry - Case #77024,Synthetic feedback description for testing. Type: INQUIRY. Category: LOAN_SERVICE.,2023-10-10,PENDING,,Agent_889,MEDIUM,,60,2026-01-10 21:04:43
PMLA-FB000065-SYN,PMLA-C001191-SYN,INQUIRY,OTHER,SOCIAL_MEDIA,RE: Inquiry - Case #33165,Synthetic feedback description for testing. Type: INQUIRY. Category: MOBILE_APP.,2024-09-26,RESOLVED,2024-10-18,Agent_339,MEDIUM,2,63,2026-01-10 21:04:43
PMLA-FB000066-SYN,PMLA-C000342-SYN,DISPUTE,CARD_SERVICE,CHAT,RE: Dispute - Case #37512,Synthetic feedback description for testing. Type: DISPUTE. Category: LOAN_SERVICE.,2023-08-02,PENDING,,Agent_369,MEDIUM,,28,2026-01-10 21:04:43
PMLA-FB000067-SYN,PMLA-C000228-SYN,SUGGESTION,ONLINE_BANKING,PHONE,RE: Suggestion - Case #31672,Synthetic feedback description for testing. Type: SUGGESTION. Category: LOAN_SERVICE.,2023-11-23,RESOLVED,2023-12-07,Agent_406,MEDIUM,2,33,2026-01-10 21:04:43
PMLA-FB000068-SYN,PMLA-C000273-SYN,PRAISE,FEES_CHARGES,BRANCH,RE: Praise - Case #31573,Synthetic feedback description for testing. Type: PRAISE. Category: BRANCH_SERVICE.,2024-03-03,ESCALATED,,Agent_133,MEDIUM,,36,2026-01-10 21:04:43
PMLA-FB000069-SYN,PMLA-C000852-SYN,INQUIRY,ONLINE_BANKING,BRANCH,RE: Inquiry - Case #83163,Synthetic feedback description for testing. Type: INQUIRY. Category: FEES_CHARGES.,2023-07-15,RESOLVED,2023-07-17,Agent_223,LOW,2,58,2026-01-10 21:04:43
PMLA-FB000070-SYN,PMLA-C001156-SYN,COMPLAINT,OTHER,BRANCH,RE: Complaint - Case #54762,Synthetic feedback description for testing. Type: COMPLAINT. Category: ONLINE_BANKING.,2023-01-13,RESOLVED,2023-01-20,Agent_191,MEDIUM,1,26,2026-01-10 21:04:43
PMLA-FB000071-SYN,PMLA-C001272-SYN,COMPLAINT,OTHER,EMAIL,RE: Complaint - Case #47432,Synthetic feedback description for testing. Type: COMPLAINT. Category: BRANCH_SERVICE.,2024-08-16,RESOLVED,2024-08-19,Agent_509,LOW,4,37,2026-01-10 21:04:43
PMLA-FB000072-SYN,PMLA-C000751-SYN,PRAISE,LOAN_SERVICE,SOCIAL_MEDIA,RE: Praise - Case #76072,Synthetic feedback description for testing. Type: PRAISE. Category: BRANCH_SERVICE.,2024-01-16,PENDING,,Agent_150,HIGH,,59,2026-01-10 21:04:43
PMLA-FB000073-SYN,PMLA-C001260-SYN,INQUIRY,MOBILE_APP,BRANCH,RE: Inquiry - Case #76719,Synthetic feedback description for testing. Type: INQUIRY. Category: ONLINE_BANKING.,2023-07-04,PENDING,,Agent_940,LOW,,19,2026-01-10 21:04:43
PMLA-FB000074-SYN,PMLA-C001105-SYN,COMPLAINT,MOBILE_APP,BRANCH,RE: Complaint - Case #43526,Synthetic feedback description for testing. Type: COMPLAINT. Category: LOAN_SERVICE.,2023-04-11,RESOLVED,2023-05-04,Agent_871,LOW,3,41,2026-01-10 21:04:43
PMLA-FB000075-SYN,PMLA-C000497-SYN,INQUIRY,FRAUD,BRANCH,RE: Inquiry - Case #23346,Synthetic feedback description for testing. Type: INQUIRY. Category: ACCOUNT_SERVICE.,2023-03-16,RESOLVED,2023-04-08,Agent_962,LOW,2,44,2026-01-10 21:04:43
PMLA-FB000076-SYN,PMLA-C000106-SYN,SUGGESTION,ONLINE_BANKING,CHAT,RE: Suggestion - Case #95309,Synthetic feedback description for testing. Type: SUGGESTION. Category: FEES_CHARGES.,2024-09-13,RESOLVED,2024-09-17,Agent_119,MEDIUM,5,62,2026-01-10 21:04:43
PMLA-FB000077-SYN,PMLA-C000043-SYN,COMPLAINT,CARD_SERVICE,EMAIL,RE: Complaint - Case #14656,Synthetic feedback description for testing. Type: COMPLAINT. Category: ONLINE_BANKING.,2023-03-15,RESOLVED,2023-04-06,Agent_845,LOW,2,39,2026-01-10 21:04:43
PMLA-FB000078-SYN,PMLA-C000210-SYN,PRAISE,CARD_SERVICE,SOCIAL_MEDIA,RE: Praise - Case #76206,Synthetic feedback description for testing. Type: PRAISE. Category: BRANCH_SERVICE.,2024-07-22,RESOLVED,2024-07-26,Agent_627,CRITICAL,3,4,2026-01-10 21:04:43
PMLA-FB000079-SYN,PMLA-C000379-SYN,PRAISE,FEES_CHARGES,CHAT,RE: Praise - Case #87172,Synthetic feedback description for testing. Type: PRAISE. Category: LOAN_SERVICE.,2024-02-14,PENDING,,Agent_564,MEDIUM,,5,2026-01-10 21:04:43
PMLA-FB000080-SYN,PMLA-C000193-SYN,PRAISE,ACCOUNT_SERVICE,PHONE,RE: Praise - Case #81762,Synthetic feedback description for testing. Type: PRAISE. Category: MOBILE_APP.,2024-07-28,ESCALATED,,Agent_485,MEDIUM,,35,2026-01-10 21:04:43
PMLA-FB000081-SYN,PMLA-C000040-SYN,COMPLAINT,BRANCH_SERVICE,EMAIL,RE: Complaint - Case #54080,Synthetic feedback description for testing. Type: COMPLAINT. Category: FRAUD.,2023-10-21,PENDING,,Agent_662,HIGH,,29,2026-01-10 21:04:43
PMLA-FB000082-SYN,PMLA-C000474-SYN,COMPLAINT,ONLINE_BANKING,BRANCH,RE: Complaint - Case #52121,Synthetic feedback description for testing. Type: COMPLAINT. Category: LOAN_SERVICE.,2024-07-26,PENDING,,Agent_891,LOW,,24,2026-01-10 21:04:43
PMLA-FB000083-SYN,PMLA-C000288-SYN,COMPLAINT,OTHER,SOCIAL_MEDIA,RE: Complaint - Case #15394,Synthetic feedback description for testing. Type: COMPLAINT. Category: FRAUD.,2023-04-11,ESCALATED,,Agent_705,LOW,,40,2026-01-10 21:04:43
PMLA-FB000084-SYN,PMLA-C001471-SYN,COMPLAINT,ONLINE_BANKING,EMAIL,RE: Complaint - Case #29124,Synthetic feedback description for testing. Type: COMPLAINT. Category: LOAN_SERVICE.,2024-02-06,PENDING,,Agent_386,LOW,,20,2026-01-10 21:04:43
PMLA-FB000085-SYN,PMLA-C001257-SYN,INQUIRY,ACCOUNT_SERVICE,MAIL,RE: Inquiry - Case #95358,Synthetic feedback description for testing. Type: INQUIRY. Category: LOAN_SERVICE.,2023-09-05,RESOLVED,2023-09-27,Agent_963,MEDIUM,1,69,2026-01-10 21:04:43
PMLA-FB000086-SYN,PMLA-C000393-SYN,COMPLAINT,OTHER,BRANCH,RE: Complaint - Case #16445,Synthetic feedback description for testing. Type: COMPLAINT. Category: LOAN_SERVICE.,2023-10-10,PENDING,,Agent_915,MEDIUM,,25,2026-01-10 21:04:43
PMLA-FB000087-SYN,PMLA-C001440-SYN,SUGGESTION,OTHER,BRANCH,RE: Suggestion - Case #61637,Synthetic feedback description for testing. Type: SUGGESTION. Category: ONLINE_BANKING.,2024-07-19,RESOLVED,2024-08-06,Agent_182,MEDIUM,3,31,2026-01-10 21:04:43
PMLA-FB000088-SYN,PMLA-C001289-SYN,SUGGESTION,CARD_SERVICE,SOCIAL_MEDIA,RE: Suggestion - Case #20360,Synthetic feedback description for testing. Type: SUGGESTION. Category: LOAN_SERVICE.,2023-06-03,RESOLVED,2023-06-17,Agent_629,MEDIUM,1,60,2026-01-10 21:04:43
PMLA-FB000089-SYN,PMLA-C000546-SYN,PRAISE,MOBILE_APP,PHONE,RE: Praise - Case #10450,Synthetic feedback description for testing. Type: PRAISE. Category: CARD_SERVICE.,2023-08-28,DUPLICATE,,Agent_168,MEDIUM,,62,2026-01-10 21:04:43
PMLA-FB000090-SYN,PMLA-C001164-SYN,COMPLAINT,MOBILE_APP,PHONE,RE: Complaint - Case #40765,Synthetic feedback description for testing. Type: COMPLAINT. Category: BRANCH_SERVICE.,2024-11-24,RESOLVED,2024-12-10,Agent_353,MEDIUM,4,56,2026-01-10 21:04:43
PMLA-FB000091-SYN,PMLA-C000576-SYN,COMPLAINT,BRANCH_SERVICE,EMAIL,RE: Complaint - Case #85600,Synthetic feedback description for testing. Type: COMPLAINT. Category: FEES_CHARGES.,2023-07-24,RESOLVED,2023-08-02,Agent_162,LOW,3,53,2026-01-10 21:04:43
PMLA-FB000092-SYN,PMLA-C000947-SYN,SUGGESTION,ONLINE_BANKING,EMAIL,RE: Suggestion - Case #20239,Synthetic feedback description for testing. Type: SUGGESTION. Category: FRAUD.,2023-09-19,ESCALATED,,Agent_802,MEDIUM,,22,2026-01-10 21:04:43
