loan_id,customer_id,loan_type,principal_amount,interest_rate,term_months,monthly_payment,outstanding_balance,application_date,approval_date,disbursement_date,maturity_date,status,collateral_type,credit_score_at_application,debt_to_income_ratio,late_payments_count,days_past_due,created_at
PMLA-L000010-SYN,PMLA-C000264-SYN,BUSINESS,310124.49,2.63,60,5427.18,310124.49,2019-05-09,2019-05-23,2019-06-01,2024-04-26,APPROVED,VEHICLE,848,0.4,0,0,2026-01-10 21:04:43
PMLA-L000011-SYN,PMLA-C000852-SYN,PERSONAL,35834.71,2.81,24,1567.77,35834.71,2024-04-07,2024-05-01,2024-05-13,2026-04-21,APPROVED,NONE,768,0.47,0,0,2026-01-10 21:04:43
PMLA-L000012-SYN,PMLA-C000104-SYN,MORTGAGE,1112699.19,5.47,120,9736.12,114430.31,2022-11-10,2022-11-26,2022-11-30,2032-10-04,ACTIVE,SAVINGS,787,0.19,4,0,2026-01-10 21:04:43
PMLA-L000013-SYN,PMLA-C000563-SYN,STUDENT,12832.22,3.79,180,74.85,3355.34,2022-12-31,2023-01-01,2023-01-15,2037-10-14,ACTIVE,NONE,674,0.18,2,0,2026-01-10 21:04:43
PMLA-L000014-SYN,PMLA-C000176-SYN,MORTGAGE,420953.86,5.31,120,3683.35,309067.6,2018-04-02,2018-04-26,2018-05-10,2028-03-04,ACTIVE,SAVINGS,797,0.3,0,0,2026-01-10 21:04:43
PMLA-L000015-SYN,PMLA-C000839-SYN,LINE_OF_CREDIT,91927.48,4.92,0,0,91927.48,2023-05-09,2023-05-12,2023-05-13,,APPROVED,NONE,687,0.23,0,0,2026-01-10 21:04:43
PMLA-L000016-SYN,PMLA-C000058-SYN,AUTO,63662.17,5.37,72,928.41,45717.85,2022-07-12,2022-07-20,2022-07-27,2028-06-18,ACTIVE,VEHICLE,790,0.34,3,0,2026-01-10 21:04:43
PMLA-L000017-SYN,PMLA-C001241-SYN,AUTO,63595.6,8.83,60,1112.92,63595.6,2023-11-11,,,,REJECTED,PROPERTY,605,0.38,0,0,2026-01-10 21:04:43
PMLA-L000018-SYN,PMLA-C001090-SYN,STUDENT,23912.53,7.89,60,418.47,23912.53,2022-06-26,,,,REJECTED,NONE,824,0.28,0,0,2026-01-10 21:04:43
PMLA-L000019-SYN,PMLA-C000660-SYN,MORTGAGE,1348774.0,9.75,120,11801.77,1072810.48,2018-04-04,2018-05-02,2018-05-12,2028-03-10,ACTIVE,VEHICLE,756,0.5,1,0,2026-01-10 21:04:43
PMLA-L000020-SYN,PMLA-C000237-SYN,AUTO,42605.45,6.42,36,1242.66,0,2024-03-08,2024-03-30,2024-04-11,2027-03-15,CLOSED,SAVINGS,743,0.52,0,0,2026-01-10 21:04:43
PMLA-L000021-SYN,PMLA-C001352-SYN,PERSONAL,34109.12,4.5,60,596.91,34109.12,2022-07-18,2022-08-02,2022-08-11,2027-07-07,DEFAULTED,NONE,632,0.45,5,84,2026-01-10 21:04:43
PMLA-L000022-SYN,PMLA-C000177-SYN,AUTO,20478.79,7.75,72,298.65,20478.79,2020-09-21,2020-10-07,2020-10-09,2026-09-06,APPROVED,SAVINGS,792,0.34,0,0,2026-01-10 21:04:43
PMLA-L000023-SYN,PMLA-C001065-SYN,MORTGAGE,387927.1,9.03,180,2262.91,120101.85,2022-11-28,2022-12-19,2022-12-31,2037-10-01,ACTIVE,VEHICLE,820,0.22,3,0,2026-01-10 21:04:43
PMLA-L000024-SYN,PMLA-C000949-SYN,MORTGAGE,1009718.07,8.6,180,5890.02,673683.69,2019-01-12,2019-02-04,2019-02-05,2033-11-17,ACTIVE,VEHICLE,811,0.3,1,0,2026-01-10 21:04:43
PMLA-L000025-SYN,PMLA-C000798-SYN,MORTGAGE,257511.55,5.72,120,2253.23,257511.55,2019-10-22,2019-11-13,2019-11-27,2029-09-21,APPROVED,SAVINGS,763,0.46,0,0,2026-01-10 21:04:43
PMLA-L000026-SYN,PMLA-C000685-SYN,PERSONAL,39973.72,2.98,48,874.43,23101.94,2021-05-17,2021-06-11,2021-06-19,2025-05-21,ACTIVE,NONE,604,0.38,5,0,2026-01-10 21:04:43
PMLA-L000027-SYN,PMLA-C001361-SYN,MORTGAGE,264597.28,9.86,300,926.09,84367.73,2024-05-01,2024-05-15,2024-05-26,2049-01-04,ACTIVE,NONE,627,0.23,0,0,2026-01-10 21:04:43
PMLA-L000028-SYN,PMLA-C000865-SYN,BUSINESS,281284.92,5.23,36,8204.14,0,2018-02-06,2018-02-14,2018-02-22,2021-01-29,CLOSED,NONE,829,0.29,0,0,2026-01-10 21:04:43
PMLA-L000029-SYN,PMLA-C000588-SYN,AUTO,56122.07,6.39,36,1636.89,56122.07,2023-09-02,2023-09-03,2023-09-15,2026-08-18,APPROVED,NONE,699,0.35,0,0,2026-01-10 21:04:43
PMLA-L000030-SYN,PMLA-C000959-SYN,AUTO,45115.21,10.62,60,789.52,0,2020-07-10,2020-08-06,2020-08-09,2025-07-11,CLOSED,VEHICLE,716,0.45,0,0,2026-01-10 21:04:43
PMLA-L000031-SYN,PMLA-C000897-SYN,AUTO,25031.38,3.33,48,547.56,25031.38,2024-03-07,2024-03-09,2024-03-23,2028-02-17,APPROVED,VEHICLE,634,0.24,0,0,2026-01-10 21:04:43
PMLA-L000032-SYN,PMLA-C001116-SYN,AUTO,38442.57,8.37,60,672.74,0,2022-05-17,2022-05-21,2022-05-26,2027-04-25,CLOSED,VEHICLE,813,0.27,0,0,2026-01-10 21:04:43
PMLA-L000033-SYN,PMLA-C000827-SYN,MORTGAGE,262443.59,8.94,360,765.46,0,2024-02-12,2024-02-29,2024-03-14,2053-09-24,CLOSED,PROPERTY,768,0.48,0,0,2026-01-10 21:04:43
PMLA-L000034-SYN,PMLA-C000516-SYN,AUTO,75787.68,6.62,48,1657.86,75787.68,2022-08-15,2022-08-30,2022-09-09,2026-08-09,APPROVED,PROPERTY,767,0.44,0,0,2026-01-10 21:04:43
PMLA-L000035-SYN,PMLA-C001388-SYN,AUTO,27841.35,2.95,36,812.04,27841.35,2020-12-15,,,,REJECTED,VEHICLE,731,0.17,0,0,2026-01-10 21:04:43
PMLA-L000036-SYN,PMLA-C000980-SYN,STUDENT,55488.84,6.3,180,323.68,0,2020-04-18,2020-04-29,2020-05-10,2035-02-10,CLOSED,NONE,640,0.47,0,0,2026-01-10 21:04:43
PMLA-L000037-SYN,PMLA-C000012-SYN,MORTGAGE,922505.51,11.46,300,3228.77,922505.51,2024-05-03,2024-05-23,2024-05-31,2049-01-12,APPROVED,SAVINGS,646,0.28,0,0,2026-01-10 21:04:43
PMLA-L000038-SYN,PMLA-C001011-SYN,MORTGAGE,1422309.43,7.01,240,6222.6,1422309.43,2024-03-29,2024-04-13,2024-04-25,2043-12-30,DEFAULTED,PROPERTY,725,0.29,1,24,2026-01-10 21:04:43
PMLA-L000039-SYN,PMLA-C001119-SYN,PERSONAL,28323.69,8.51,24,1239.16,28323.69,2024-02-10,2024-02-29,2024-03-13,2026-02-18,APPROVED,NONE,700,0.41,0,0,2026-01-10 21:04:43
PMLA-L000040-SYN,PMLA-C000544-SYN,AUTO,51157.64,6.14,72,746.05,42003.31,2022-02-22,2022-02-27,2022-03-08,2028-01-27,ACTIVE,PROPERTY,771,0.26,1,0,2026-01-10 21:04:43
PMLA-L000041-SYN,PMLA-C000072-SYN,STUDENT,83428.55,7.9,120,730.0,57654.64,2018-01-16,2018-01-19,2018-01-20,2027-11-28,ACTIVE,NONE,716,0.44,1,0,2026-01-10 21:04:43
PMLA-L000042-SYN,PMLA-C001426-SYN,AUTO,47402.76,5.57,84,592.53,17511.32,2020-10-15,2020-10-16,2020-10-18,2027-09-10,ACTIVE,VEHICLE,596,0.27,1,0,2026-01-10 21:04:43
PMLA-L000043-SYN,PMLA-C000371-SYN,AUTO,70790.82,7.25,36,2064.73,70790.82,2022-10-17,2022-11-15,2022-11-18,2025-10-30,APPROVED,VEHICLE,717,0.2,0,0,2026-01-10 21:04:43
PMLA-L000044-SYN,PMLA-C000212-SYN,AUTO,50587.37,3.87,84,632.34,50587.37,2021-10-15,2021-11-09,2021-11-15,2028-10-03,APPROVED,NONE,750,0.44,0,0,2026-01-10 21:04:43
PMLA-L000045-SYN,PMLA-C001279-SYN,PERSONAL,24963.44,4.71,60,436.86,24963.44,2019-04-30,2019-05-13,2019-05-25,2024-04-16,APPROVED,NONE,683,0.31,0,0,2026-01-10 21:04:43
PMLA-L000046-SYN,PMLA-C001358-SYN,AUTO,36691.63,2.5,84,458.65,36691.63,2023-06-26,2023-07-19,2023-08-02,2030-06-12,APPROVED,NONE,640,0.37,0,0,2026-01-10 21:04:43
PMLA-L000047-SYN,PMLA-C001093-SYN,PERSONAL,31381.47,8.91,36,915.29,31381.47,2019-07-07,2019-08-04,2019-08-18,2022-07-19,APPROVED,NONE,701,0.41,0,0,2026-01-10 21:04:43
PMLA-L000048-SYN,PMLA-C000815-SYN,PERSONAL,42774.13,6.97,60,748.55,37604.45,2021-07-05,2021-07-08,2021-07-14,2026-06-12,ACTIVE,NONE,674,0.46,3,0,2026-01-10 21:04:43
PMLA-L000049-SYN,PMLA-C001093-SYN,AUTO,18690.2,8.48,48,408.85,18690.2,2021-01-05,2021-02-01,2021-02-07,2025-01-11,APPROVED,PROPERTY,612,0.36,0,0,2026-01-10 21:04:43
PMLA-L000050-SYN,PMLA-C001447-SYN,PERSONAL,20130.3,5.18,60,352.28,5448.3,2022-12-01,2022-12-02,2022-12-14,2027-11-06,ACTIVE,NONE,642,0.16,1,0,2026-01-10 21:04:43
PMLA-L000051-SYN,PMLA-C000742-SYN,LINE_OF_CREDIT,29051.41,11.59,0,0,29051.41,2018-08-24,2018-09-09,2018-09-10,,DEFAULTED,NONE,595,0.3,5,32,2026-01-10 21:04:43
PMLA-L000052-SYN,PMLA-C000981-SYN,AUTO,65796.8,11.04,84,822.46,65796.8,2021-10-09,2021-11-02,2021-11-06,2028-09-26,DEFAULTED,NONE,754,0.49,2,69,2026-01-10 21:04:43
PMLA-L000053-SYN,PMLA-C000232-SYN,MORTGAGE,1212580.94,10.92,360,3536.69,0,2023-01-03,2023-01-28,2023-02-03,2052-08-23,CLOSED,SAVINGS,781,0.25,0,0,2026-01-10 21:04:43
PMLA-L000054-SYN,PMLA-C000092-SYN,AUTO,37758.63,10.56,84,471.98,37758.63,2022-03-10,2022-03-16,2022-03-19,2029-02-07,APPROVED,NONE,809,0.49,0,0,2026-01-10 21:04:43
PMLA-L000055-SYN,PMLA-C001418-SYN,PERSONAL,33804.59,9.63,36,985.97,33804.59,2020-11-30,,,,REJECTED,NONE,647,0.5,0,0,2026-01-10 21:04:43
PMLA-L000056-SYN,PMLA-C000984-SYN,STUDENT,90971.87,6.31,60,1592.01,90971.87,2020-03-31,2020-04-10,2020-04-14,2025-03-15,APPROVED,NONE,795,0.16,0,0,2026-01-10 21:04:43
PMLA-L000057-SYN,PMLA-C000705-SYN,PERSONAL,47359.37,9.19,12,4143.94,13782.85,2019-10-14,2019-10-18,2019-10-19,2020-10-12,ACTIVE,NONE,765,0.4,1,0,2026-01-10 21:04:43
PMLA-L000058-SYN,PMLA-C000973-SYN,AUTO,34593.64,7.43,84,432.42,27051.96,2019-06-10,2019-07-05,2019-07-12,2026-05-29,ACTIVE,SAVINGS,723,0.42,5,0,2026-01-10 21:04:43
PMLA-L000059-SYN,PMLA-C000578-SYN,STUDENT,85056.12,6.89,180,496.16,85056.12,2023-03-09,2023-03-22,2023-03-23,2038-01-02,APPROVED,NONE,738,0.27,0,0,2026-01-10 21:04:43
PMLA-L000060-SYN,PMLA-C000456-SYN,AUTO,53958.65,5.65,72,786.9,15288.33,2021-07-13,2021-07-18,2021-07-27,2027-06-17,ACTIVE,VEHICLE,734,0.51,0,0,2026-01-10 21:04:43
PMLA-L000061-SYN,PMLA-C001244-SYN,MORTGAGE,965079.3,6.67,300,3377.78,965079.3,2019-09-03,2019-09-10,2019-09-15,2044-05-01,DEFAULTED,VEHICLE,665,0.41,4,16,2026-01-10 21:04:43
PMLA-L000062-SYN,PMLA-C000824-SYN,AUTO,75588.86,11.71,48,1653.51,75588.86,2023-06-13,2023-07-09,2023-07-20,2027-06-18,APPROVED,VEHICLE,583,0.38,0,0,2026-01-10 21:04:43
PMLA-L000063-SYN,PMLA-C000559-SYN,PERSONAL,19816.14,5.79,60,346.78,19816.14,2024-03-06,2024-03-27,2024-03-30,2029-03-01,APPROVED,NONE,709,0.23,0,0,2026-01-10 21:04:43
PMLA-L000064-SYN,PMLA-C000704-SYN,MORTGAGE,222837.35,10.38,240,974.91,222837.35,2019-05-03,,,,REJECTED,PROPERTY,842,0.55,0,0,2026-01-10 21:04:43
PMLA-L000065-SYN,PMLA-C000711-SYN,PERSONAL,8497.28,6.55,24,371.76,8497.28,2023-01-04,2023-01-14,2023-01-20,2025-01-03,APPROVED,NONE,597,0.25,0,0,2026-01-10 21:04:43
PMLA-L000066-SYN,PMLA-C001442-SYN,LINE_OF_CREDIT,26267.36,11.45,0,0,8279.34,2018-10-25,2018-11-17,2018-11-30,,ACTIVE,NONE,788,0.2,1,0,2026-01-10 21:04:43
PMLA-L000067-SYN,PMLA-C000603-SYN,MORTGAGE,1024118.6,5.37,60,17922.08,1024118.6,2020-09-07,2020-09-08,2020-09-15,2025-08-13,APPROVED,SAVINGS,678,0.5,0,0,2026-01-10 21:04:43
PMLA-L000068-SYN,PMLA-C000441-SYN,MORTGAGE,594676.8,10.57,60,10406.84,243815.62,2024-02-02,2024-02-13,2024-02-18,2029-01-17,ACTIVE,NONE,629,0.41,5,0,2026-01-10 21:04:43
PMLA-L000069-SYN,PMLA-C000652-SYN,PERSONAL,14163.63,10.05,36,413.11,14163.63,2020-01-16,2020-01-23,2020-01-26,2023-01-07,APPROVED,NONE,836,0.45,0,0,2026-01-10 21:04:43
PMLA-L000070-SYN,PMLA-C000159-SYN,AUTO,19725.57,8.37,48,431.5,19725.57,2024-05-06,2024-05-31,2024-06-12,2028-05-10,APPROVED,SAVINGS,801,0.24,0,0,2026-01-10 21:04:43
PMLA-L000071-SYN,PMLA-C001381-SYN,MORTGAGE,419843.06,6.0,180,2449.08,419843.06,2018-08-16,2018-09-04,2018-09-18,2033-06-17,APPROVED,PROPERTY,774,0.31,0,0,2026-01-10 21:04:43
PMLA-L000072-SYN,PMLA-C000396-SYN,AUTO,76966.67,6.27,72,1122.43,47421.39,2021-02-11,2021-02-20,2021-02-26,2027-01-20,ACTIVE,VEHICLE,759,0.26,0,0,2026-01-10 21:04:43
PMLA-L000073-SYN,PMLA-C001392-SYN,PERSONAL,20049.87,4.29,36,584.79,20049.87,2019-02-09,2019-02-27,2019-03-02,2022-02-11,APPROVED,NONE,802,0.32,0,0,2026-01-10 21:04:43
PMLA-L000074-SYN,PMLA-C001194-SYN,BUSINESS,203659.49,6.53,36,5940.07,203659.49,2023-02-25,2023-03-01,2023-03-03,2026-02-13,APPROVED,SAVINGS,614,0.32,0,0,2026-01-10 21:04:43
PMLA-L000075-SYN,PMLA-C000854-SYN,LINE_OF_CREDIT,23634.0,7.95,0,0,0,2024-05-28,2024-06-06,2024-06-17,,CLOSED,NONE,612,0.45,0,0,2026-01-10 21:04:43
PMLA-L000076-SYN,PMLA-C001343-SYN,MORTGAGE,1401240.74,6.49,180,8173.9,1401240.74,2023-11-02,,,,REJECTED,SAVINGS,607,0.33,0,0,2026-01-10 21:04:43
PMLA-L000077-SYN,PMLA-C001366-SYN,PERSONAL,16320.35,5.23,24,714.02,5526.0,2024-04-26,2024-05-04,2024-05-09,2026-04-24,ACTIVE,NONE,673,0.26,0,0,2026-01-10 21:04:43
PMLA-L000078-SYN,PMLA-C001446-SYN,BUSINESS,306881.26,4.92,84,3836.02,306881.26,2019-03-20,2019-03-26,2019-04-09,2026-02-17,APPROVED,PROPERTY,840,0.36,0,0,2026-01-10 21:04:43
PMLA-L000079-SYN,PMLA-C001411-SYN,MORTGAGE,1194525.37,3.04,240,5226.05,1194525.37,2018-10-03,2018-10-18,2018-10-28,2038-07-05,APPROVED,PROPERTY,678,0.44,0,0,2026-01-10 21:04:43
PMLA-L000080-SYN,PMLA-C000696-SYN,AUTO,50085.79,8.62,48,1095.63,17937.29,2019-03-07,2019-03-31,2019-04-14,2023-03-10,ACTIVE,PROPERTY,825,0.37,3,0,2026-01-10 21:04:43
PMLA-L000081-SYN,PMLA-C000835-SYN,MORTGAGE,1260860.22,4.34,120,11032.53,1260860.22,2019-02-21,2019-03-20,2019-03-30,2029-01-26,APPROVED,SAVINGS,705,0.45,0,0,2026-01-10 21:04:43
PMLA-L000082-SYN,PMLA-C000314-SYN,PERSONAL,38037.57,10.07,12,3328.29,0,2019-08-04,2019-09-01,2019-09-09,2020-08-26,CLOSED,NONE,788,0.3,0,0,2026-01-10 21:04:43
PMLA-L000083-SYN,PMLA-C000224-SYN,AUTO,74594.77,8.78,48,1631.76,0,2022-07-03,2022-07-07,2022-07-10,2026-06-16,CLOSED,SAVINGS,849,0.36,0,0,2026-01-10 21:04:43
PMLA-L000084-SYN,PMLA-C000079-SYN,LINE_OF_CREDIT,55231.09,9.13,0,0,19958.93,2023-03-08,2023-03-30,2023-04-05,,ACTIVE,NONE,754,0.32,1,0,2026-01-10 21:04:43
PMLA-L000085-SYN,PMLA-C000348-SYN,PERSONAL,39419.47,3.67,24,1724.6,39419.47,2020-08-26,2020-09-02,2020-09-14,2022-08-23,APPROVED,NONE,591,0.43,0,0,2026-01-10 21:04:43
PMLA-L000086-SYN,PMLA-C000304-SYN,MORTGAGE,1176047.68,9.78,60,20580.83,1176047.68,2020-12-08,,,,REJECTED,PROPERTY,720,0.45,0,0,2026-01-10 21:04:43
PMLA-L000087-SYN,PMLA-C000207-SYN,MORTGAGE,203023.57,8.98,60,3552.91,203023.57,2022-08-13,2022-09-12,2022-09-19,2027-08-17,APPROVED,SAVINGS,818,0.4,0,0,2026-01-10 21:04:43
PMLA-L000088-SYN,PMLA-C000652-SYN,PERSONAL,25588.11,6.52,12,2238.96,25588.11,2021-04-21,2021-05-14,2021-05-25,2022-05-09,DEFAULTED,NONE,789,0.29,0,34,2026-01-10 21:04:43
PMLA-L000089-SYN,PMLA-C001002-SYN,LINE_OF_CREDIT,56871.21,2.69,0,0,56871.21,2021-09-11,2021-09-20,2021-09-30,,APPROVED,NONE,711,0.32,0,0,2026-01-10 21:04:43
PMLA-L000090-SYN,PMLA-C000164-SYN,MORTGAGE,746120.21,11.33,360,2176.18,746120.21,2020-03-22,2020-04-19,2020-04-26,2049-11-13,APPROVED,PROPERTY,761,0.44,0,0,2026-01-10 21:04:43
PMLA-L000091-SYN,PMLA-C001327-SYN,MORTGAGE,892180.38,5.92,120,7806.58,892180.38,2019-07-04,,,,REJECTED,NONE,662,0.2,0,0,2026-01-10 21:04:43
PMLA-L000092-SYN,PMLA-C000957-SYN,MORTGAGE,1207207.27,10.86,300,4225.23,1207207.27,2023-08-18,2023-09-08,2023-09-21,2048-04-29,APPROVED,PROPERTY,819,0.19,0,0,2026-01-10 21:04:43
PMLA-L000093-SYN,PMLA-C001298-SYN,LINE_OF_CREDIT,53653.11,5.51,0,0,0,2024-05-12,2024-06-03,2024-06-04,,CLOSED,NONE,832,0.25,0,0,2026-01-10 21:04:43
PMLA-L000094-SYN,PMLA-C001346-SYN,AUTO,21359.62,4.94,84,267.0,21359.62,2018-10-05,2018-10-25,2018-11-07,2025-09-18,WRITTEN_OFF,PROPERTY,607,0.5,0,0,2026-01-10 21:04:43
PMLA-L000095-SYN,PMLA-C000208-SYN,PERSONAL,23631.44,3.88,48,516.94,0,2022-06-26,2022-07-07,2022-07-14,2026-06-16,CLOSED,NONE,702,0.33,0,0,2026-01-10 21:04:43
PMLA-L000096-SYN,PMLA-C001014-SYN,BUSINESS,383153.13,10.61,120,3352.59,383153.13,2023-09-25,2023-10-16,2023-10-25,2033-08-24,APPROVED,NONE,826,0.2,0,0,2026-01-10 21:04:43
PMLA-L000097-SYN,PMLA-C000363-SYN,MORTGAGE,1292680.93,6.03,60,22621.92,1292680.93,2020-05-25,2020-05-30,2020-06-01,2025-05-04,APPROVED,PROPERTY,822,0.26,0,0,2026-01-10 21:04:43
PMLA-L000098-SYN,PMLA-C000317-SYN,PERSONAL,10433.59,9.88,48,228.23,10433.59,2019-02-20,2019-03-10,2019-03-12,2023-02-17,WRITTEN_OFF,NONE,593,0.5,0,0,2026-01-10 21:04:43
PMLA-L000099-SYN,PMLA-C001041-SYN,STUDENT,58617.18,2.56,60,1025.8,41884.15,2021-07-16,2021-08-09,2021-08-13,2026-07-14,ACTIVE,NONE,799,0.42,0,0,2026-01-10 21:04:43
PMLA-L000100-SYN,PMLA-C001344-SYN,AUTO,72708.71,4.2,36,2120.67,31419.43,2019-01-17,2019-01-23,2019-01-26,2022-01-07,ACTIVE,NONE,686,0.53,0,0,2026-01-10 21:04:43
PMLA-L000101-SYN,PMLA-C001388-SYN,PERSONAL,21997.85,7.28,12,1924.81,12564.85,2022-06-08,2022-06-26,2022-07-05,2023-06-21,ACTIVE,NONE,619,0.3,1,0,2026-01-10 21:04:43
PMLA-L000102-SYN,PMLA-C001132-SYN,AUTO,79742.54,4.27,48,1744.37,79742.54,2022-12-29,2023-01-01,2023-01-13,2026-12-11,APPROVED,VEHICLE,607,0.37,0,0,2026-01-10 21:04:43
PMLA-L000103-SYN,PMLA-C000614-SYN,LINE_OF_CREDIT,49260.32,11.23,0,0,36801.91,2019-06-05,2019-06-28,2019-07-01,,ACTIVE,NONE,840,0.45,5,0,2026-01-10 21:04:43
PMLA-L000104-SYN,PMLA-C001056-SYN,PERSONAL,16316.04,11.47,48,356.91,16316.04,2021-04-13,2021-05-13,2021-05-23,2025-04-22,APPROVED,NONE,673,0.3,0,0,2026-01-10 21:04:43
PMLA-L000105-SYN,PMLA-C000179-SYN,MORTGAGE,266477.02,9.91,180,1554.45,0,2022-03-24,2022-03-28,2022-04-04,2037-01-08,CLOSED,PROPERTY,674,0.25,0,0,2026-01-10 21:04:43
PMLA-L000106-SYN,PMLA-C000454-SYN,MORTGAGE,1253869.34,5.35,300,4388.54,1253869.34,2019-03-22,2019-04-12,2019-04-20,2043-12-02,APPROVED,SAVINGS,790,0.53,0,0,2026-01-10 21:04:43
PMLA-L000107-SYN,PMLA-C001283-SYN,MORTGAGE,1139646.47,3.27,300,3988.76,0,2021-02-22,2021-03-03,2021-03-10,2045-10-23,CLOSED,NONE,591,0.44,0,0,2026-01-10 21:04:43
PMLA-L000108-SYN,PMLA-C000596-SYN,PERSONAL,44287.99,9.29,12,3875.2,44287.99,2023-06-20,2023-07-10,2023-07-20,2024-07-04,APPROVED,NONE,734,0.25,0,0,2026-01-10 21:04:43
PMLA-L000109-SYN,PMLA-C001455-SYN,AUTO,40553.1,3.48,36,1182.8,40553.1,2019-01-04,2019-01-14,2019-01-20,2021-12-29,DEFAULTED,NONE,652,0.16,0,37,2026-01-10 21:04:43
PMLA-L000110-SYN,PMLA-C001032-SYN,PERSONAL,48622.53,8.14,36,1418.16,48622.53,2021-08-31,2021-09-09,2021-09-15,2024-08-24,APPROVED,NONE,835,0.29,0,0,2026-01-10 21:04:43
PMLA-L000111-SYN,PMLA-C000330-SYN,MORTGAGE,754140.19,2.93,360,2199.58,0,2022-06-12,2022-06-13,2022-06-25,2052-01-07,CLOSED,SAVINGS,777,0.38,0,0,2026-01-10 21:04:43
PMLA-L000112-SYN,PMLA-C001474-SYN,AUTO,30623.59,7.93,72,446.59,30623.59,2021-10-24,2021-11-23,2021-11-24,2027-10-23,APPROVED,NONE,626,0.51,0,0,2026-01-10 21:04:43
PMLA-L000113-SYN,PMLA-C000977-SYN,AUTO,57212.09,4.91,60,1001.21,57212.09,2018-02-12,,,,REJECTED,SAVINGS,760,0.37,0,0,2026-01-10 21:04:43
PMLA-L000114-SYN,PMLA-C000505-SYN,MORTGAGE,769693.6,3.35,60,13469.64,769693.6,2023-06-10,2023-07-05,2023-07-10,2028-06-08,APPROVED,SAVINGS,613,0.19,0,0,2026-01-10 21:04:43
PMLA-L000115-SYN,PMLA-C000289-SYN,PERSONAL,8473.12,9.86,48,185.35,0,2022-05-19,2022-06-18,2022-06-22,2026-05-28,CLOSED,NONE,635,0.23,0,0,2026-01-10 21:04:43
PMLA-L000116-SYN,PMLA-C000201-SYN,PERSONAL,28412.86,5.61,60,497.23,12469.16,2018-10-03,2018-11-02,2018-11-11,2023-10-07,ACTIVE,NONE,833,0.34,2,0,2026-01-10 21:04:43
PMLA-L000117-SYN,PMLA-C000389-SYN,AUTO,63965.75,10.45,36,1865.67,63965.75,2019-03-31,2019-04-21,2019-05-04,2022-04-05,APPROVED,SAVINGS,767,0.41,0,0,2026-01-10 21:04:43
PMLA-L000118-SYN,PMLA-C001175-SYN,LINE_OF_CREDIT,84380.02,10.75,0,0,84380.02,2018-09-19,,,,REJECTED,NONE,681,0.41,0,0,2026-01-10 21:04:43
PMLA-L000119-SYN,PMLA-C001238-SYN,MORTGAGE,1183439.16,5.17,240,5177.55,1183439.16,2019-09-09,2019-10-09,2019-10-14,2039-06-26,APPROVED,PROPERTY,834,0.35,0,0,2026-01-10 21:04:43
