Swift Developer,Engineering,Technology,Information Technology,Mid-level,"iOS Swift Developer;Swift Engineer"
Kotlin Developer,Engineering,Technology,Information Technology,Mid-level,"Android Kotlin Developer;Kotlin Engineer"
SAP Consultant,Consulting,Technology,Information Technology,Mid-level,"SAP Specialist;SAP Developer"
Salesforce Developer,Engineering,Technology,Information Technology,Mid-level,"SFDC Developer;Salesforce Engineer"
SharePoint Developer,Engineering,Technology,Information Technology,Mid-level,"SharePoint Engineer;SP Developer"
WordPress Developer,Engineering,Technology,Information Technology,Mid-level,"WP Developer;WordPress Engineer"
Magento Developer,Engineering,Technology,Information Technology,Mid-level,"Magento Engineer;Ecommerce Developer"
IT Consultant,Consulting,Technology,Information Technology,Mid-level,"Technology Consultant;IT Advisor"
IT Auditor,Compliance,Technology,Information Technology,Mid-level,"Technology Auditor;Systems Auditor"
Penetration Tester,Security,Technology,Information Technology,Mid-level,"Pen Tester;Ethical Hacker"
Security Analyst,Security,Technology,Information Technology,Mid-level,"Cybersecurity Analyst;Information Security Analyst"
SOC Analyst,Security,Technology,Information Technology,Mid-level,"Security Operations Center Analyst;Security Monitoring Analyst"
Incident Response Specialist,Security,Technology,Information Technology,Mid-level,"IR Specialist;Security Incident Handler"
Compliance Analyst,Compliance,Technology,Information Technology,Mid-level,"IT Compliance Specialist;Regulatory Analyst"
Risk Analyst,Risk Management,Technology,Information Technology,Mid-level,"IT Risk Analyst;Technology Risk Specialist"
Change Manager,Management,Technology,Information Technology,Mid-level,"Change Management Specialist;Transformation Manager"
Release Manager,Management,Technology,Information Technology,Mid-level,"Release Engineer;Deployment Manager"
Configuration Manager,Management,Technology,Information Technology,Mid-level,"Config Manager;CM Specialist"
Service Desk Manager,Management,Technology,Information Technology,Senior,"Help Desk Manager;Support Manager"
Infrastructure Manager,Management,Technology,Information Technology,Senior,"IT Infrastructure Manager;Systems Manager"
Application Support Analyst,Support,Technology,Information Technology,Mid-level,"App Support;Application Specialist"
Desktop Support Technician,Support,Technology,Information Technology,Junior,"Desktop Support;PC Technician"
Network Administrator,Infrastructure,Technology,Information Technology,Mid-level,"Network Admin;Network Specialist"
Cloud Engineer,Engineering,Technology,Information Technology,Mid-level,"Cloud Developer;Cloud Specialist"
AWS Engineer,Engineering,Technology,Information Technology,Mid-level,"Amazon Web Services Engineer;AWS Developer"
Azure Engineer,Engineering,Technology,Information Technology,Mid-level,"Microsoft Azure Engineer;Azure Developer"
GCP Engineer,Engineering,Technology,Information Technology,Mid-level,"Google Cloud Engineer;GCP Developer"
ETL Developer,Data & Analytics,Technology,Information Technology,Mid-level,"Data Integration Developer;ETL Engineer"
BI Developer,Data & Analytics,Technology,Information Technology,Mid-level,"Business Intelligence Developer;BI Engineer"
BI Analyst,Data & Analytics,Technology,Information Technology,Mid-level,"Business Intelligence Analyst;Reporting Analyst"
Reporting Analyst,Data & Analytics,Technology,Information Technology,Mid-level,"Report Developer;Analytics Specialist"
Database Developer,Data & Analytics,Technology,Information Technology,Mid-level,"SQL Developer;Database Engineer"
Performance Engineer,Engineering,Technology,Information Technology,Mid-level,"Performance Tester;Load Test Engineer"
Automation Engineer,Engineering,Technology,Information Technology,Mid-level,"Test Automation Engineer;Automation Developer"
Integration Engineer,Engineering,Technology,Information Technology,Mid-level,"Systems Integration Engineer;Integration Developer"
API Developer,Engineering,Technology,Information Technology,Mid-level,"API Engineer;Backend API Developer"
Microservices Developer,Engineering,Technology,Information Technology,Mid-level,"Microservices Engineer;Services Developer"
Technical Support Engineer,Support,Technology,Information Technology,Mid-level,"Tech Support;Customer Support Engineer"
Implementation Specialist,Professional Services,Technology,Information Technology,Mid-level,"Implementation Consultant;Deployment Specialist"
Customer Success Engineer,Customer Success,Technology,Information Technology,Mid-level,"CSE;Technical Account Manager"
Pre-Sales Engineer,Sales,Technology,Information Technology,Mid-level,"Sales Engineer;Solutions Consultant"
Technical Trainer,Training,Technology,Information Technology,Mid-level,"IT Trainer;Technology Instructor"
Agile Coach,Management,Technology,Information Technology,Senior,"Scrum Coach;Agile Consultant"
Product Owner,Product,Technology,Information Technology,Mid-level,"PO;Product Lead"
UX Researcher,Design,Technology,Information Technology,Mid-level,"User Researcher;Usability Analyst"
UI Designer,Design,Technology,Information Technology,Mid-level,"User Interface Designer;Visual Designer"
Interaction Designer,Design,Technology,Information Technology,Mid-level,"IxD;UX/UI Designer"
IT Procurement Specialist,Procurement,Technology,Information Technology,Mid-level,"Technology Buyer;IT Purchasing Manager"
Vendor Manager,Management,Technology,Information Technology,Senior,"Supplier Manager;IT Vendor Manager"
License Manager,Management,Technology,Information Technology,Mid-level,"Software Asset Manager;License Specialist"
IT Coordinator,Coordination,Technology,Information Technology,Mid-level,"Technology Coordinator;IT Admin"
Technical Analyst,Analysis,Technology,Information Technology,Mid-level,"Tech Analyst;Systems Analyst"
Solution Designer,Design,Technology,Information Technology,Senior,"Solution Architect;Technical Designer"
Enterprise Architect,Engineering,Technology,Information Technology,Expert,"EA;Chief Architect"
Data Architect,Data & Analytics,Technology,Information Technology,Senior,"Information Architect;Data Design Lead"
Security Architect,Security,Technology,Information Technology,Senior,"Security Design Lead;InfoSec Architect"
Integration Architect,Engineering,Technology,Information Technology,Senior,"Systems Integration Architect;API Architect"
Infrastructure Architect,Infrastructure,Technology,Information Technology,Senior,"Systems Architect;IT Architect"
Application Architect,Engineering,Technology,Information Technology,Senior,"Software Architect;Apps Architect"
Technical Program Manager,Management,Technology,Information Technology,Senior,"TPM;Program Manager"
Delivery Manager,Management,Technology,Information Technology,Senior,"Service Delivery Manager;IT Delivery Lead"
Capacity Manager,Management,Technology,Information Technology,Mid-level,"Capacity Planner;Performance Manager"
Problem Manager,Management,Technology,Information Technology,Mid-level,"Incident Manager;Problem Analyst"
Knowledge Manager,Management,Technology,Information Technology,Mid-level,"Knowledge Base Manager;Documentation Manager"
