bureau_row_id,gt_person_id,link_shared_id,bureau_internal_id,bureau_pull_ts,birth_year,sex,home_postal_fsa,home_province,bureau_score,inquiries_12m,inquiries_90d,tradelines_open,tradelines_revolving,tradelines_installment,tradelines_mortgage,credit_utilization_pct,max_utilization_12m_pct,credit_limit_total,balance_total,delinq_30d_12m,delinq_60d_12m,delinq_90d_12m,derogatory_count,bankruptcy_flag,months_since_bankruptcy,consumer_proposal_flag,addresses_count_24m,employers_count_24m,thin_file_flag,created_at,updated_at,source_system
18,8469,c726e1f858cc0f8c,6efab056a568e64d,2025-07-15 15:33:59,1999,M,P0R,YT,619,3,2,2,1,1,1,52.92,163.32,30949.73,7585.25,1,0,0,0,False,,False,0,0,False,2025-07-12,2025-07-15,bureau_v1
19,1533,306d32dfb1d0b89f,a069e089c1ff2951,2025-06-25 16:08:33,1985,F,Y3K,NS,554,5,2,8,3,5,1,77.46,77.46,19003.24,2085.97,0,0,0,0,False,,False,0,0,False,2025-06-24,2025-06-28,bureau_v1
20,5229,668bdf104fcee335,7e7697e87648fa3b,2025-07-31 17:51:58,1951,M,B4G,QC,648,3,1,1,2,1,0,67.2,134.83,15624.93,3983.9,0,0,0,1,False,,False,0,0,True,2025-07-09,2025-08-04,bureau_v1
21,483,4ae60b3f3040e2f8,04f2094a899eaf0e,2025-01-01 14:16:05,1966,F,L9E,PE,632,1,0,8,5,4,0,32.15,32.15,65890.02,9881.34,0,0,0,0,False,,False,1,0,False,2024-12-16,2025-01-01,bureau_v1
22,282,,838899a4e4eb38c4,2025-07-04 13:47:31,1982,F,K8X,NB,609,0,0,3,4,1,0,23.05,31.78,13311.42,1296.53,0,0,0,0,False,,False,1,1,False,2025-07-02,2025-07-07,bureau_v1
23,2456,290f667ec61518c4,e3491723a5b19540,2025-07-03 12:36:53,1971,F,H7E,NT,702,3,2,8,5,2,1,41.97,41.97,79583.05,12518.87,1,0,0,0,False,,False,1,2,False,2025-06-29,2025-07-07,bureau_v1
24,7079,83b390ff0e59b087,24bab249338404b0,2025-05-22 12:37:07,1973,M,E8V,AB,639,2,1,4,4,2,1,49.15,55.91,14259.04,38522.66,0,2,1,0,False,,False,2,0,False,2025-05-19,2025-05-27,bureau_v1
25,6246,bc628315d50ff89b,42bfa9834bd0e962,2025-05-10 09:20:03,1968,F,K9H,NT,617,3,1,8,3,4,1,49.62,49.62,81362.28,26544.02,2,0,1,0,False,,False,1,1,False,2025-05-05,2025-05-13,bureau_v1
26,5834,,f135e091b872f4e1,2025-08-03 19:48:46,1992,M,V3E,YT,673,0,0,3,4,1,1,17.66,75.22,20555.67,3526.26,1,0,0,0,False,,False,1,1,False,2025-07-16,2025-08-03,bureau_v1
27,3923,,1b53a79dbce034d9,2025-06-25 10:55:16,1973,M,S5K,SK,572,1,0,4,5,1,1,33.51,72.44,180005.81,190232.54,0,1,1,0,False,,False,1,0,False,2025-06-07,2025-06-25,bureau_v1
28,807,,17a69e25057782b6,2025-05-27 10:52:58,1950,F,S4K,NL,551,5,2,7,6,0,1,78.99,95.94,117294.38,508.26,0,1,0,0,False,,False,3,0,False,2025-05-22,2025-06-02,bureau_v1
29,7891,,b519be82cdd9a6f9,2025-03-17 10:43:09,1981,F,X3C,MB,488,1,0,9,8,3,0,81.3,81.3,181321.92,22275.06,1,0,0,0,False,,False,3,1,False,2025-03-08,2025-03-20,bureau_v1
30,1068,f59faf5f71b3ef1d,84b1f8d5b52d578f,2025-06-22 15:25:52,1953,M,C2R,SK,570,2,1,5,1,2,2,10.72,16.12,4741.78,6981.38,0,0,0,0,False,,False,1,1,False,2025-06-02,2025-06-24,bureau_v1
31,8433,,0a6f62d2a6307a3f,2025-01-28 19:31:19,1956,M,G0H,NT,619,2,0,8,6,2,0,31.94,39.47,145503.94,4634.89,1,0,0,0,False,,False,4,1,False,2025-01-05,2025-02-02,bureau_v1
32,8816,,feaac2d66fe2546b,2025-06-23 11:23:30,1977,M,C5R,SK,676,3,1,6,3,2,1,13.09,105.32,14475.67,21149.06,1,0,0,0,True,65.0,False,4,0,False,2025-06-15,2025-06-23,bureau_v1
33,2392,,8fcd794ed66f7599,2025-07-03 10:28:33,1961,F,L2H,NL,649,3,0,6,4,2,2,52.92,52.92,22861.95,29321.74,3,0,0,0,False,,False,2,1,False,2025-07-01,2025-07-07,bureau_v1
34,7548,,6165801d50327f2d,2025-05-16 19:04:02,1950,F,M6T,AB,686,4,2,5,5,0,1,52.39,71.1,6822.24,5000.15,1,0,0,0,False,,False,1,1,False,2025-05-13,2025-05-19,bureau_v1
35,3098,d388ee24ee22cecf,f5ad42c14610f18d,2025-02-28 10:42:10,1995,F,T9A,MB,669,3,2,5,4,1,0,0.0,35.89,31211.74,13285.47,0,0,1,0,False,,False,3,0,False,2025-02-22,2025-03-02,bureau_v1
36,1147,78f00764d524bd42,35effe09928f3dd1,2025-02-28 10:52:28,1962,M,H8J,NL,841,2,0,6,4,3,1,44.21,44.21,12576.43,3917.78,0,0,0,0,False,,False,1,1,False,2025-02-11,2025-03-04,bureau_v1
37,717,ff38e4bb3a73f445,eef157cae927d27a,2025-05-11 13:42:19,1972,F,A4N,NL,819,3,1,6,4,4,0,90.24,90.24,11590.86,21768.14,1,0,0,0,False,,False,1,1,False,2025-04-24,2025-05-16,bureau_v1
38,795,fe37d14790f10835,95ce36f711cb646a,2025-04-25 17:28:30,2001,F,K5C,NT,731,2,1,4,5,0,1,109.24,109.24,49755.46,87510.63,1,0,0,0,False,,False,2,1,False,2025-04-15,2025-04-26,bureau_v1
39,362,64c02c916779166c,aa5078a3b4091c03,2025-07-06 18:39:10,1970,M,V5N,NS,556,1,0,3,2,3,0,8.32,107.6,192651.34,40178.3,5,2,0,0,False,,False,2,3,False,2025-06-11,2025-07-08,bureau_v1
40,8656,,42c9d2640c44387e,2025-02-27 17:19:59,1957,F,L2B,BC,549,1,1,1,2,1,0,74.61,74.61,12739.92,63031.35,1,0,1,0,False,,False,1,0,True,2025-02-20,2025-03-03,bureau_v1
41,6280,58b5d853043340b5,cdf109ae8c2b36a9,2025-07-06 09:14:45,2001,F,Y8M,NL,630,1,1,3,3,0,0,0.0,66.99,72046.35,12671.84,2,0,0,0,False,,False,3,1,False,2025-07-02,2025-07-12,bureau_v1
42,3755,,b385ea58553f9246,2025-03-30 16:28:17,1957,M,X8J,YT,701,7,0,5,3,2,1,24.15,101.07,4318.0,15939.44,0,0,0,0,False,,False,0,1,False,2025-03-01,2025-04-04,bureau_v1
43,6482,b8a6516393cf8255,1f80b8df7e0fd77c,2025-07-18 13:06:11,1993,F,T3K,YT,814,2,0,5,4,1,0,67.07,92.86,300000.0,8179.45,0,0,0,0,False,,False,1,1,False,2025-06-22,2025-07-18,bureau_v1
44,1310,f525041d47acbf24,d38664cfe3d24206,2025-06-12 18:48:08,1959,F,L1R,YT,682,2,0,1,2,0,1,19.48,90.22,44621.94,47651.45,0,0,0,0,False,,False,0,0,True,2025-05-23,2025-06-18,bureau_v1
45,7295,3d6157716a1f80ca,a1bfb75fbe26d8a5,2025-04-04 16:11:43,1963,M,X7C,QC,700,2,0,5,3,3,0,15.41,15.41,80531.3,6748.68,0,0,0,0,False,,False,0,0,False,2025-03-18,2025-04-10,bureau_v1
46,7249,d3d7cc6f9b4b8b26,19933bf056f8f215,2025-02-11 18:07:59,1973,F,X5P,NL,684,4,0,3,2,3,1,56.28,83.76,17828.23,9528.1,0,0,0,0,False,,False,1,1,False,2025-01-27,2025-02-16,bureau_v1
47,3203,398149f49bc2f6bd,342be749777f9698,2025-02-19 14:17:29,1963,F,L2X,NU,704,2,1,7,4,4,0,61.18,61.18,22092.73,48053.41,0,1,0,0,False,,False,2,1,False,2025-02-04,2025-02-23,bureau_v1
48,4027,a28111817af756f8,cab558b28fd5bfd2,2025-03-17 16:36:32,1992,M,V4P,NL,700,1,0,5,2,2,1,39.96,54.03,19224.43,53196.84,0,1,0,0,False,,False,0,0,False,2025-02-26,2025-03-17,bureau_v1
49,814,ba336fd0e827703b,30802ac413e001f1,2025-01-13 15:09:13,2004,M,T1M,NL,734,1,0,7,6,1,0,81.43,81.43,47801.61,3179.43,0,2,0,1,False,,False,0,0,False,2025-01-05,2025-01-17,bureau_v1
50,5120,671025cefe04b8bf,2449c22fc222dc4a,2025-03-09 16:10:34,1973,M,M2M,YT,742,3,0,1,2,1,1,52.75,83.74,62714.56,28595.19,0,0,0,0,False,,False,0,1,True,2025-02-14,2025-03-15,bureau_v1
51,3385,7939653716b2c771,d34cdbaf9888d958,2025-02-28 11:06:15,1988,M,J6X,AB,661,3,1,2,4,1,0,42.1,42.1,21637.66,3216.13,1,1,0,0,False,,False,1,2,False,2025-02-01,2025-03-01,bureau_v1
52,1669,8a1dc2cbfcea622b,46793a582204aebe,2025-04-20 13:23:44,1956,F,V3C,NT,728,1,0,5,3,3,1,15.19,138.34,56230.48,76196.28,0,0,0,0,False,,False,0,2,False,2025-04-13,2025-04-24,bureau_v1
53,2206,b9b14f4455fc103a,6664a0d1127dbc4a,2025-07-27 13:56:44,1987,M,H4N,QC,668,0,0,5,5,0,0,95.61,95.61,24822.73,8801.72,0,0,0,0,False,,False,0,3,False,2025-07-04,2025-08-02,bureau_v1
54,4280,43f6c27d07452c6e,9474973054364003,2025-07-11 17:10:42,1986,F,H9B,NB,706,1,0,3,2,2,0,72.14,85.57,31566.92,10118.83,1,0,0,1,False,,False,4,0,False,2025-07-02,2025-07-11,bureau_v1
55,6749,cbee2c1e3ff8224a,be7b0a68308e40c4,2025-03-16 12:57:19,1999,F,Y3T,ON,550,2,1,4,3,2,0,37.35,102.18,296923.72,19191.89,0,0,0,0,False,,False,0,0,False,2025-03-11,2025-03-18,bureau_v1
56,6085,,2610d0d6034f4eb5,2025-07-29 17:36:36,1959,M,G0R,BC,739,2,1,1,1,1,0,29.71,81.65,72606.72,2271.71,0,1,0,0,False,,False,1,2,True,2025-07-18,2025-07-31,bureau_v1
57,3857,,5700ce1968410945,2025-01-16 10:52:06,1954,F,C1Y,QC,750,3,2,6,6,1,0,56.49,80.13,2019.34,12025.82,0,0,0,0,False,,False,2,0,True,2025-01-14,2025-01-18,bureau_v1
58,7147,,3cadf10c66cffa13,2025-04-22 17:54:00,1996,F,R7M,AB,650,2,1,5,2,2,1,64.29,98.3,13692.67,79827.37,1,0,0,0,False,,False,0,0,False,2025-04-10,2025-04-26,bureau_v1
59,6780,80338141a6594fc9,859af7db8ea6a730,2025-07-05 13:20:41,1961,M,Y2G,YT,664,1,0,3,2,2,0,82.69,82.69,22370.14,14298.25,0,0,0,0,True,11.0,False,0,1,False,2025-06-13,2025-07-06,bureau_v1
60,1788,,82b09444f590223c,2025-03-28 17:23:46,1947,M,G8Y,SK,635,2,0,7,2,3,2,52.48,52.48,53133.15,7909.52,2,0,0,0,False,,False,2,1,False,2025-03-10,2025-03-29,bureau_v1
61,4783,873b23bcd2098336,37bdf1ebd9972eae,2025-04-10 15:35:47,1992,M,Y8J,NL,756,2,0,3,2,1,2,65.3,108.14,13697.87,6577.68,1,0,0,0,False,,False,1,0,False,2025-03-18,2025-04-16,bureau_v1
62,596,3549ad051b09de52,e3f48b4f7d4037eb,2025-02-08 19:15:23,1969,M,G2Y,NT,621,3,2,7,5,5,0,0.0,139.13,31791.96,26878.67,0,0,1,1,False,,False,2,0,False,2025-01-16,2025-02-08,bureau_v1
63,6868,e090b60ed5e93277,933b9af519a3beed,2025-06-14 12:11:43,1982,M,R9M,AB,520,2,1,4,3,2,0,33.25,54.52,16063.39,508.39,0,0,0,0,False,,False,1,1,False,2025-06-11,2025-06-17,bureau_v1
64,2149,84795935bd39cf91,bb3670074812d0e2,2025-04-05 13:27:07,1951,F,X9X,QC,541,1,0,7,3,4,1,46.65,94.43,11195.0,3926.69,0,0,1,0,False,,False,2,0,False,2025-03-25,2025-04-08,bureau_v1
65,5546,e87566fa44e05c31,ab3fad3d90802dc7,2025-03-11 10:53:40,1977,F,K0Y,SK,704,0,0,0,2,0,1,32.4,55.39,8783.38,2693.58,1,0,0,0,False,,False,0,0,True,2025-03-05,2025-03-16,bureau_v1
66,4040,81d5c8dca212b1a4,cfeaeff8b75ac885,2025-05-22 14:59:53,1963,M,J1M,NS,643,1,0,4,2,5,0,41.75,71.21,106932.28,44039.15,0,0,0,0,False,,False,0,0,False,2025-05-20,2025-05-25,bureau_v1
67,7786,a2360976f92193ed,9feb323dd4d147a0,2025-04-17 09:58:47,1963,F,C2E,NB,860,2,1,6,7,0,0,3.91,83.63,3623.57,3304.04,1,0,0,0,False,,False,0,0,True,2025-04-11,2025-04-23,bureau_v1
68,6963,aa79da8a932c16d4,444da58b2276034b,2025-04-30 13:51:42,1947,F,K9E,PE,667,2,0,8,6,3,1,77.86,77.86,120873.88,16691.18,0,0,0,0,False,,False,0,4,False,2025-04-02,2025-05-04,bureau_v1
69,199,ade7e124d48e8e63,3e3d4b695d695b79,2025-07-23 12:54:03,1988,M,B3E,NS,457,0,0,6,3,2,2,43.55,93.13,25732.78,8051.62,0,1,0,0,False,,False,2,1,False,2025-07-01,2025-07-26,bureau_v1
70,5825,,db6f622b4e791086,2025-01-31 10:24:55,2000,F,A4G,NT,721,4,1,1,1,2,1,38.66,40.5,14953.5,20980.65,2,0,0,0,False,,False,2,1,True,2025-01-12,2025-02-01,bureau_v1
71,5352,,3500da91b30cb237,2025-02-03 12:02:35,1947,F,J3Y,QC,696,1,0,7,2,4,1,45.91,55.04,35422.53,36862.32,0,0,0,0,False,,False,1,1,False,2025-01-18,2025-02-09,bureau_v1
72,5248,12133ac6aeadf8ea,9caeafdc2d0f61ce,2025-02-04 10:45:57,1959,F,A7P,BC,802,0,0,9,8,0,3,57.72,57.72,29405.84,33797.71,0,0,1,0,False,,False,2,2,False,2025-01-19,2025-02-06,bureau_v1
73,5955,,c3f280bf521eed0f,2025-02-04 14:09:48,1973,F,E7G,SK,653,1,0,14,5,6,3,38.72,58.34,62798.96,5096.84,0,0,1,1,False,,False,1,0,False,2025-01-29,2025-02-09,bureau_v1
74,7592,,221a7cf353670b9a,2025-04-23 09:03:59,1996,F,Y9K,YT,741,1,0,3,3,1,0,63.97,63.97,34501.12,17172.45,0,0,0,0,False,,False,0,1,False,2025-04-05,2025-04-28,bureau_v1
75,5480,d62b632db5be8bb8,4634f1b685d31d76,2025-07-17 12:54:00,1948,M,B1R,NU,798,1,1,5,3,0,2,0.0,27.51,88896.22,32576.41,2,0,1,0,False,,False,2,1,False,2025-07-05,2025-07-17,bureau_v1
76,505,9b57860501e095ce,fb5906c9f0c1dd95,2025-08-09 19:03:48,1975,F,E4V,NU,534,1,0,5,2,3,1,42.9,61.95,57019.58,14491.44,0,0,0,0,False,,False,0,0,False,2025-07-25,2025-08-13,bureau_v1
77,6948,bc60ac44c507bab2,389ee66bd3a7899f,2025-04-13 15:54:30,1999,F,E3J,NS,687,3,1,8,5,3,1,85.91,85.91,13619.39,5911.59,0,0,0,0,False,,False,1,0,False,2025-04-07,2025-04-15,bureau_v1
78,1448,fe245f809b7da07c,3212d506840b6059,2025-01-26 19:44:01,1996,X,T3X,NT,623,2,0,7,4,4,1,11.08,21.86,10717.09,61323.84,0,0,0,0,False,,False,0,0,False,2025-01-20,2025-01-29,bureau_v1
79,8973,aadb42c07569da10,39069f5c74b4ae01,2025-02-28 19:34:58,1999,M,E3P,BC,738,1,0,4,3,2,0,35.62,82.36,30327.64,8441.84,0,0,0,0,False,,False,1,0,False,2025-02-09,2025-03-02,bureau_v1
80,7408,bf9943a0a6edcf2c,1efd642db5b74526,2025-06-20 14:52:39,1990,M,V1X,NS,695,2,1,1,2,1,0,37.38,37.38,48847.28,2992.1,0,1,1,0,False,,False,0,0,True,2025-06-12,2025-06-26,bureau_v1
81,7950,eb64e19f314c7d27,d272d9a9d23f5a92,2025-03-14 15:43:45,1975,F,A4C,NB,506,0,0,5,4,3,0,38.08,38.08,41430.83,5455.92,1,0,0,0,False,,False,1,0,False,2025-02-16,2025-03-20,bureau_v1
82,6804,dcc88dc2761061c8,3b960746986e1ca3,2025-07-13 18:33:02,1957,M,K9J,NU,756,1,0,8,6,2,1,64.47,64.47,7897.13,36162.02,1,1,0,0,False,,False,0,2,False,2025-07-03,2025-07-13,bureau_v1
83,3285,,fd32c9e5aaa8cb71,2025-07-27 17:52:05,1990,F,Y9L,NS,817,0,0,10,6,3,1,51.55,51.55,46964.63,7448.3,1,0,0,0,False,,False,1,0,False,2025-07-26,2025-08-02,bureau_v1
84,6742,,c6115236a56bef33,2025-06-10 12:07:53,1962,F,H8L,NL,570,2,0,1,1,1,1,5.53,100.14,300000.0,5359.17,2,0,0,0,False,,False,1,1,True,2025-05-22,2025-06-10,bureau_v1
85,3973,cee6fa04441b68fa,07b60f339a425b88,2025-07-30 17:11:05,1952,F,N0E,NS,689,2,0,9,5,2,2,132.43,132.43,11262.62,6666.36,1,0,0,0,False,,False,0,0,False,2025-07-09,2025-08-05,bureau_v1
86,6185,,6fff8f0c5e953f56,2025-02-19 16:33:38,1958,F,J4B,YT,765,1,1,5,3,4,1,13.61,56.32,21731.95,16110.74,1,0,0,0,False,,False,1,0,False,2025-02-04,2025-02-24,bureau_v1
87,7776,2b7632a3f5129d9e,c0b49087665bc999,2025-05-23 10:58:29,1993,X,K9N,NS,895,2,0,5,3,1,2,18.3,78.46,66565.4,5229.46,0,1,0,0,False,,False,1,2,False,2025-04-27,2025-05-28,bureau_v1
88,5705,,67b9dfaae6b99b4d,2025-04-24 12:42:36,1970,F,G1H,SK,600,3,0,10,3,4,3,12.07,111.85,3479.85,29862.46,1,0,0,0,False,,False,0,3,True,2025-04-17,2025-04-26,bureau_v1
89,7322,1aaf7673b7649a82,041e569692896fd6,2025-01-22 19:45:42,1949,F,G8R,MB,826,3,0,5,3,2,1,0.0,33.72,300000.0,11417.22,0,0,0,0,False,,False,1,1,False,2025-01-02,2025-01-25,bureau_v1
90,936,06697c0b64ac0b64,2047f430ad262735,2025-07-16 09:20:29,2001,M,M5S,NS,694,2,2,5,3,1,1,16.64,92.84,75534.27,112214.1,2,2,0,0,False,,False,1,0,False,2025-07-05,2025-07-18,bureau_v1
91,2712,7ded2bafa90f3ad4,98a1a0a86e210570,2025-07-20 16:06:22,1971,M,K7X,NL,727,2,1,5,6,1,0,50.52,50.52,8846.55,145087.84,0,0,0,0,False,,False,2,1,False,2025-07-17,2025-07-25,bureau_v1
92,8457,,1b099e41e65f4114,2025-05-27 16:31:48,1951,F,N0E,MB,681,1,0,4,3,2,0,96.42,128.64,27160.53,8932.88,1,1,0,0,False,,False,0,0,False,2025-05-17,2025-06-02,bureau_v1
93,1788,,82b09444f590223c,2025-04-19 12:30:40,1947,M,G8Y,SK,515,1,1,2,2,2,1,36.38,36.38,49480.21,12130.15,1,0,0,0,False,,False,3,0,False,2025-03-26,2025-04-19,bureau_v1
94,6278,e58f11777a3ad6bd,ef9e5e3eb30923d9,2025-01-15 17:09:51,2000,M,G9R,BC,622,3,0,7,6,1,1,65.18,65.18,10316.63,9759.26,0,2,1,0,False,,False,1,2,False,2024-12-26,2025-01-15,bureau_v1
95,8601,,b84a769b8975c827,2025-08-06 12:15:47,1992,F,S1P,BC,667,1,0,4,4,1,0,30.13,38.26,33653.32,4725.86,0,0,0,0,False,,False,2,1,False,2025-07-21,2025-08-12,bureau_v1
96,90,ddb98c675947a3f3,ab5c22a5cb404cfe,2025-08-04 10:36:39,1992,M,X7R,SK,726,4,2,7,4,3,1,55.42,96.9,40550.49,6691.62,1,1,0,0,False,,False,1,1,False,2025-07-23,2025-08-09,bureau_v1
97,5540,,067b74b90b5e9447,2025-03-05 10:02:45,1953,F,H1G,NL,594,2,0,6,7,1,0,108.39,108.39,46951.14,59745.78,1,0,0,0,False,,False,1,2,False,2025-03-01,2025-03-05,bureau_v1
98,4878,06c95d651c875cb9,524fc0b2ae1ca8fc,2025-05-26 18:39:07,1981,M,S6L,ON,657,1,1,5,2,4,0,105.12,105.12,71052.75,5540.93,0,0,0,0,False,,False,2,0,False,2025-05-05,2025-05-29,bureau_v1
99,2595,e39f51161a9635f5,e09baf6b77e16b9b,2025-07-22 14:12:00,2000,F,X4C,NU,664,4,2,7,5,2,1,61.53,61.53,27855.87,11629.47,0,0,1,0,False,,False,0,0,False,2025-07-15,2025-07-23,bureau_v1
100,912,ef79e7d530f5ba79,ea7260b4d38a4ad9,2025-08-08 16:08:35,1985,M,C0N,PE,583,2,1,9,10,1,0,22.83,69.95,3472.99,11881.47,0,0,0,0,False,,False,0,1,True,2025-07-14,2025-08-13,bureau_v1
101,6687,,26a391d728bd1cfc,2025-05-29 10:03:54,1977,F,N3N,YT,766,3,2,3,3,2,0,62.45,62.45,10566.93,4465.45,0,0,0,0,False,,False,3,0,False,2025-05-05,2025-05-30,bureau_v1
102,8833,,ea9924e978493861,2025-02-07 16:03:53,1997,M,J4T,NU,711,1,0,2,2,1,1,13.33,13.33,130168.45,1271.01,1,0,0,0,False,,False,0,0,False,2025-01-21,2025-02-09,bureau_v1
103,7657,e1d29b878dc0afd4,9615766cb15855bf,2025-07-23 16:16:38,1973,M,X9H,SK,878,0,0,10,8,1,1,25.81,57.55,61808.09,81092.25,0,1,0,0,False,,False,1,1,False,2025-06-30,2025-07-24,bureau_v1
104,4506,f35527275b2b256c,3a7d116329c99c76,2025-07-01 13:57:58,1981,M,J8A,BC,764,1,0,7,4,2,1,63.37,89.89,14113.69,1829.28,1,0,0,0,False,,False,1,1,False,2025-06-08,2025-07-07,bureau_v1
105,3058,2df20326dc711143,e617a4fca0808315,2025-05-20 17:26:57,1992,M,H7M,ON,630,4,1,14,5,8,2,60.7,152.66,52711.18,4318.63,1,0,0,0,False,,False,0,1,False,2025-04-27,2025-05-22,bureau_v1
106,668,27b6e18543091798,99ee50e257a3fd64,2025-07-25 15:13:14,1982,M,M4B,MB,524,5,2,4,1,2,1,74.46,118.47,18758.12,13986.63,0,0,0,0,False,,False,0,2,False,2025-07-18,2025-07-27,bureau_v1
107,4985,618703bb9fec2fac,cdecdc5fd322bcb4,2025-01-20 15:27:34,1986,F,H1G,NL,751,1,0,6,5,1,1,48.59,63.41,20310.5,34290.23,0,0,0,0,False,,False,2,0,False,2024-12-26,2025-01-24,bureau_v1
108,6364,,0ddf761608ee002f,2025-07-30 16:16:20,1957,F,X1T,NL,836,1,0,3,4,1,1,61.22,61.22,300000.0,30222.81,2,1,0,0,False,,False,0,0,False,2025-07-14,2025-08-05,bureau_v1
109,5663,,0b71229d609bdb34,2025-04-16 11:47:29,1987,M,C3N,NT,812,1,1,1,3,0,0,0.0,72.83,71501.19,5093.88,0,0,0,0,False,,False,0,0,True,2025-04-04,2025-04-18,bureau_v1
110,7822,b5693f345e596be6,cf57df3433cac284,2025-05-12 19:54:39,1982,M,J2L,NT,681,5,3,6,4,1,1,76.32,76.32,53359.75,18316.09,1,0,0,1,False,,False,1,1,False,2025-04-16,2025-05-12,bureau_v1
